Day,Month,Year,Tx,Tn,RH,u2,Rs,ETo,e(a),e(s),Ra,n,N,Rnl,Rn
1,1,2001,22.5,3.3,22.6,1.79,17.38,3.5,0.336,1.75,22.98,10.48,10.48,8.47,4.92
2,1,2001,22.1,5.2,33.9,2.51,17.67,3.9,0.53,1.772,23.03,10.49,10.49,7.94,5.57
3,1,2001,22.6,5.4,44.6,4.12,16.51,4.5,0.713,1.82,23.08,9.76,10.49,6.82,5.9
4,1,2001,20.5,6.3,51.7,1.36,16.48,2.6,0.795,1.683,23.14,9.71,10.5,6.51,6.18
5,1,2001,20.6,5.2,41.1,2.48,15.71,3.5,0.612,1.656,23.2,8.98,10.51,6.46,5.64
6,1,2001,21.2,6.1,48.6,3.73,16.41,4,0.759,1.73,23.27,9.58,10.52,6.53,6.1
7,1,2001,20.4,9.3,47.3,4.62,11.9,4.2,0.799,1.784,23.33,5.47,10.53,4.02,5.14
8,1,2001,16.4,6.1,58.4,3.85,10.52,2.8,0.779,1.403,23.4,4.2,10.53,3.1,5
9,1,2001,15,2.7,57.4,3.45,17.28,2.8,0.652,1.224,23.48,10.25,10.54,6.73,6.57
10,1,2001,17,2.4,60.4,2.42,17.32,2.6,0.727,1.332,23.56,10.24,10.55,6.62,6.71
11,1,2001,18.5,5.3,51.6,1.1,18.17,2.4,0.719,1.51,23.64,10.56,10.56,7.19,6.68
12,1,2001,19.8,4.2,44.8,1.84,17.95,3,0.628,1.567,23.73,10.58,10.58,7.39,6.44
13,1,2001,20.6,4.2,39.3,1.57,17.67,3,0.566,1.626,23.82,10.42,10.59,7.42,6.19
14,1,2001,20.8,6.2,34.2,1.63,18.06,3.2,0.529,1.702,23.91,10.6,10.6,7.82,6.08
15,1,2001,20.3,4.4,33.4,1.41,18.61,2.9,0.479,1.609,24,10.61,10.61,7.96,6.13
16,1,2001,22.6,3.6,22.9,2.07,18.5,3.9,0.345,1.766,24.1,10.62,10.62,8.54,5.6
17,1,2001,22,3.2,23.4,2.63,18.61,4.3,0.341,1.706,24.21,10.64,10.64,8.5,5.71
18,1,2001,24,5.8,24.1,2.46,18.32,4.5,0.408,1.953,24.31,10.65,10.65,8.38,5.72
19,1,2001,26.1,7.8,26.1,3.99,17.08,6,0.504,2.22,24.42,9.59,10.66,7.47,5.68
20,1,2001,20.6,4.5,35.8,2.34,18.19,3.7,0.521,1.634,24.53,10.5,10.68,7.56,6.45
21,1,2001,20.2,4.8,34,1.43,17.9,3,0.493,1.614,24.65,10.19,10.69,7.42,6.36
22,1,2001,22.5,5.4,32.6,3.42,17.88,4.8,0.519,1.811,24.76,10.11,10.71,7.44,6.33
23,1,2001,23.8,7.9,34.8,4.2,17.87,5.4,0.627,2.007,24.89,10.04,10.72,7.26,6.5
24,1,2001,19.5,7.3,37.3,2.87,16.32,3.9,0.573,1.645,25.01,8.65,10.74,6.25,6.31
25,1,2001,19.3,4.1,43,1.91,17.68,3.1,0.591,1.529,25.14,9.75,10.76,6.75,6.86
26,1,2001,23.3,7.7,36.4,5.19,17.38,5.7,0.641,1.956,25.27,9.43,10.77,6.77,6.61
27,1,2001,16.1,3.2,46.8,3.1,15.01,3.2,0.561,1.299,25.4,7.36,10.79,5.16,6.4
28,1,2001,15.3,-0.1,42.9,2.29,20.12,3,0.448,1.172,25.53,10.81,10.81,7.54,7.44
29,1,2001,16.7,0,34.3,1.49,20.01,2.8,0.377,1.256,25.67,10.82,10.82,7.86,7.2
30,1,2001,18.3,0.4,25.5,1.39,20.27,3,0.3,1.366,25.81,10.84,10.84,8.27,6.87
31,1,2001,18.2,0.8,20.9,1.3,20.21,3,0.248,1.369,25.95,10.86,10.86,8.51,6.72
1,2,2001,20.3,0.9,18.8,2,20.08,3.9,0.24,1.517,26.1,10.88,10.88,8.69,6.62
2,2,2001,21.9,2.8,13.9,2.66,20.28,4.8,0.2,1.687,26.24,10.9,10.9,9.1,6.3
3,2,2001,24.9,4.9,15.1,2.91,21.07,5.5,0.256,2.008,26.39,10.92,10.92,9.15,6.33
4,2,2001,24.5,8.2,21.1,2.94,19.86,5.3,0.392,2.081,26.54,10.9,10.94,8.52,6.77
5,2,2001,21.1,5.8,30.7,2.04,19.08,3.9,0.474,1.712,26.7,10.18,10.95,7.42,7.27
6,2,2001,19.6,5.6,39.4,2,19.15,3.5,0.575,1.595,26.85,10.17,10.97,7.01,7.74
7,2,2001,21.1,4.7,38.3,2.11,19.33,3.8,0.57,1.678,27.01,10.24,10.99,7.1,7.79
8,2,2001,22.2,8.6,33.7,4.36,15.14,5.3,0.59,1.897,27.17,6.77,11.02,5.05,6.6
9,2,2001,25.5,10.8,30.6,4.57,19.15,6.4,0.638,2.279,27.33,9.95,11.04,7.21,7.53
10,2,2001,22.4,9,31.9,2.31,19.24,4.3,0.569,1.929,27.49,9.95,11.06,7.14,7.67
11,2,2001,20,5.2,35.9,2.98,20.3,4.3,0.524,1.611,27.65,10.73,11.08,7.45,8.18
12,2,2001,20,2.8,42.1,2.28,21.32,3.8,0.568,1.543,27.82,11.1,11.1,7.58,8.74
13,2,2001,22.9,6.5,26.8,1.43,19.07,3.6,0.448,1.88,27.98,9.6,11.12,7.14,7.54
14,2,2001,26,8.2,24,3.95,19.24,6.4,0.468,2.224,28.15,9.66,11.14,7.36,7.46
15,2,2001,23.2,13.4,38.1,3.7,16.73,5.1,0.801,2.191,28.32,7.61,11.16,5.3,7.58
16,2,2001,20.9,11.4,40.8,3.46,18.92,4.7,0.749,1.91,28.49,9.26,11.19,6.22,8.34
17,2,2001,25.8,11.3,38.3,4.76,18.98,6.2,0.818,2.331,28.66,9.24,11.21,6.26,8.35
18,2,2001,26.6,10.3,30.4,4.75,20.23,6.9,0.645,2.368,28.83,10.15,11.23,7.24,8.34
19,2,2001,21.9,5.7,31.1,2.42,22.39,4.5,0.491,1.772,29,11.25,11.25,8.08,8.94
20,2,2001,28,8,28.4,4.44,19.54,7,0.586,2.426,29.18,9.47,11.28,6.91,8.14
21,2,2001,24,10,28.7,3.95,19.75,6,0.556,2.106,29.35,9.56,11.3,6.92,8.29
22,2,2001,23,7.3,26.3,3.29,12.38,5,0.453,1.916,29.53,3.83,11.32,3.29,6.25
23,2,2001,24.4,9.2,25.4,4.27,16.47,6.2,0.486,2.11,29.7,6.91,11.35,5.34,7.35
24,2,2001,23.9,7.3,16.6,2.09,20.9,4.8,0.294,1.994,29.88,10.22,11.37,8.05,8.05
25,2,2001,24,7.6,27.7,1.93,18.73,4.4,0.497,2.014,30.05,8.5,11.39,6.25,8.17
26,2,2001,25.3,10.8,22.7,2.52,20.08,5.3,0.47,2.26,30.23,9.46,11.42,7.14,8.32
27,2,2001,25.4,9.3,23.7,2.7,20.27,5.5,0.47,2.208,30.4,9.53,11.44,7.12,8.49
28,2,2001,26.6,12,23,2.33,19.97,5.3,0.515,2.443,30.58,9.24,11.46,6.96,8.42
1,3,2001,27.9,12.7,18.7,2.27,20.41,5.6,0.445,2.613,30.76,9.5,11.49,7.43,8.28
2,3,2001,30.8,13.8,18.4,2.45,20.91,6.2,0.495,3.01,30.93,9.81,11.51,7.68,8.42
3,3,2001,32.3,14.9,21.3,2.98,20.52,7,0.62,3.265,31.11,9.45,11.54,7.19,8.61
4,3,2001,25.8,16,43.3,1.83,8.37,3.4,1.07,2.57,31.28,0.41,11.56,0.89,5.56
5,3,2001,26.1,14.8,39.7,1.57,17.01,4.1,0.954,2.532,31.46,6.73,11.58,4.51,8.59
6,3,2001,28.8,15.5,33.4,1.69,21.67,5,0.891,2.86,31.63,10.1,11.61,6.71,9.97
7,3,2001,26.5,15.8,38.2,3.45,16,5.6,0.959,2.629,31.81,5.89,11.63,4.05,8.27
8,3,2001,30.7,14.4,34.4,3.64,21.32,7,0.94,3.029,31.98,9.71,11.66,6.39,10.02
9,3,2001,33.1,18.4,27.8,2.59,23.49,6.8,0.921,3.587,32.16,11.23,11.68,7.63,10.46
10,3,2001,30.8,15.5,21.5,3.87,23.75,8,0.61,3.101,32.33,11.35,11.71,8.33,9.96
11,3,2001,27.7,11.4,35.1,2.48,23.11,5.6,0.798,2.531,32.5,10.82,11.73,7.07,10.72
12,3,2001,29.6,12.5,27.4,2.39,22.26,6,0.684,2.798,32.67,10.14,11.76,7.1,10.04
13,3,2001,26.8,17.6,30.5,5.32,17.88,7.6,0.816,2.768,32.84,6.94,11.78,4.9,8.86
14,3,2001,32.1,18.1,31.8,4.41,15.74,7.7,1.013,3.429,33.01,5.36,11.81,3.83,8.29
15,3,2001,28.8,14.2,37.3,3.06,23.91,6.3,0.957,2.79,33.18,11.14,11.83,6.98,11.43
16,3,2001,28.6,12.4,27.8,2.75,23.9,6.4,0.67,2.677,33.34,11.07,11.86,7.59,10.81
17,3,2001,22.7,15,46.7,4.13,14.25,5,1.017,2.232,33.51,4.17,11.88,2.86,8.11
18,3,2001,24.9,13.2,62.9,3.12,23.59,4.8,1.386,2.333,33.67,10.73,11.91,5.59,12.57
19,3,2001,20.8,14.4,73.5,3.17,18.72,3.5,1.479,2.049,33.83,7.24,11.93,3.75,10.66
20,3,2001,24.8,13.3,62.6,1.67,21.71,4.1,1.38,2.329,33.99,9.29,11.96,4.92,11.8
21,3,2001,28.1,17.2,52.1,1.28,22.59,4.6,1.433,2.882,34.15,9.86,11.98,5.33,12.06
22,3,2001,28.7,16.1,56.9,2.72,15.4,4.6,1.541,2.883,34.31,4.77,12.01,2.78,9.08
23,3,2001,28,14.3,49.4,2.84,25.97,5.9,1.24,2.705,34.47,12.03,12.03,6.69,13.31
24,3,2001,31,13,25.6,4.07,25.87,8.3,0.677,2.995,34.62,11.99,12.06,8.19,11.73
25,3,2001,27,13.7,26.4,4.54,26.93,7.9,0.631,2.567,34.78,12.08,12.08,8.35,12.05
26,3,2001,26.7,10.3,27.8,2.88,26.07,6.4,0.592,2.378,34.93,12.02,12.11,8.05,12.02
27,3,2001,27.8,10.7,23.6,2.21,27.38,6.1,0.527,2.511,35.08,12.13,12.13,8.59,11.99
28,3,2001,30.1,13.7,19.5,1.8,25.89,6,0.512,2.918,35.22,11.79,12.16,8.52,11.41
29,3,2001,30.7,17.1,19.6,1.58,24.98,5.8,0.581,3.183,35.37,11.12,12.18,8.05,11.18
30,3,2001,32.3,15.4,25.3,1.56,23.75,5.7,0.748,3.293,35.51,10.22,12.21,7.01,11.28
31,3,2001,33.1,16.8,21,2.13,25.16,6.8,0.663,3.486,35.66,11.15,12.23,7.91,11.46
1,4,2001,33.3,16.8,16.8,2.29,26.55,7.3,0.534,3.514,35.8,12.05,12.26,8.93,11.52
2,4,2001,33.4,14.9,13.6,2.33,27.15,7.4,0.409,3.419,35.93,12.28,12.28,9.54,11.37
3,4,2001,33.5,15.8,12.6,2.67,27.93,8,0.391,3.484,36.07,12.31,12.31,9.79,11.37
4,4,2001,34,14.7,9.1,3.41,27.6,9.1,0.277,3.496,36.2,12.33,12.33,10.29,10.95
5,4,2001,34.7,17.4,10.1,4.68,27.87,10.8,0.341,3.759,36.33,12.35,12.35,10.2,11.12
6,4,2001,34.3,18.1,11,3.62,25.61,9.3,0.374,3.743,36.46,11.2,12.38,9,10.72
7,4,2001,35.8,19.8,10.8,4.53,25.99,10.9,0.404,4.093,36.59,11.42,12.4,9.21,10.8
8,4,2001,35.6,18.2,13.5,3.25,25.9,9,0.479,3.951,36.72,11.32,12.43,8.74,11.2
9,4,2001,31.1,16.8,22.9,4.53,25.61,9.1,0.681,3.216,36.84,11.09,12.45,7.59,12.13
10,4,2001,31.1,14.2,19.9,2.97,27.71,7.8,0.547,3.069,36.96,12.47,12.48,8.73,12.61
11,4,2001,34.1,15.4,15.8,1.84,26.75,6.8,0.493,3.549,37.08,11.79,12.5,8.71,11.88
12,4,2001,36.5,19.1,15.3,4.98,26.32,11.4,0.572,4.159,37.19,11.46,12.52,8.55,11.71
13,4,2001,31.6,16.7,18.7,3.48,26.39,8.5,0.563,3.275,37.31,11.48,12.55,8.16,12.16
14,4,2001,34.3,15.4,17.8,4.29,25.89,9.9,0.559,3.579,37.42,11.11,12.57,8.02,11.92
15,4,2001,37,18.4,17.1,3.96,26.7,10.2,0.635,4.196,37.53,11.63,12.6,8.4,12.16
16,4,2001,38.1,19.3,18.6,4.27,25.83,10.7,0.732,4.45,37.64,11.01,12.62,7.81,12.08
17,4,2001,33.3,19.1,17.8,4.79,27.46,10.4,0.605,3.663,37.74,12.08,12.64,8.57,12.57
18,4,2001,32.3,15.2,15.4,3.3,28.22,8.7,0.453,3.282,37.84,12.56,12.67,9.14,12.59
19,4,2001,35.2,16.1,12.2,2.27,27.31,7.8,0.402,3.758,37.94,11.92,12.69,9.14,11.89
20,4,2001,36.3,20.6,20.1,4.02,22.74,9.7,0.78,4.233,38.04,8.84,12.71,6.25,11.26
21,4,2001,34.7,19.9,40.6,3.82,17.91,7.5,1.473,3.927,38.14,5.59,12.74,3.29,10.5
22,4,2001,33,21,33.2,2.55,18.35,6.5,1.184,3.759,38.23,5.87,12.76,3.75,10.38
23,4,2001,36.1,19.2,15.9,1.92,27.09,7.4,0.589,4.099,38.32,11.68,12.78,8.47,12.39
24,4,2001,37.5,19.2,14.3,2.66,28.15,8.8,0.552,4.336,38.41,12.37,12.8,9.12,12.56
25,4,2001,39.1,22.3,13.8,4.45,27.17,11.7,0.609,4.861,38.5,11.69,12.83,8.72,12.2
26,4,2001,36.9,20.4,14.9,3.31,27.54,9.6,0.585,4.319,38.58,11.92,12.85,8.71,12.5
27,4,2001,36.5,18.6,14.3,4.6,25.45,11,0.527,4.125,38.66,10.51,12.87,7.84,11.75
28,4,2001,37.2,19.9,14.8,3.9,23.87,10.2,0.578,4.334,38.74,9.44,12.89,7.07,11.31
29,4,2001,34.8,21.3,23.1,4.32,26.61,10,0.876,4.047,38.82,11.25,12.91,7.31,13.18
30,4,2001,37.8,22,22.5,5.52,26.18,11.9,0.949,4.599,38.9,10.94,12.93,7.12,13.04
1,5,2001,40.6,22.8,19.8,3.73,24.61,10.5,0.926,5.195,38.97,9.88,12.95,6.72,12.23
2,5,2001,39.4,26.5,19.6,4.31,25.51,11.2,0.983,5.303,39.04,10.47,12.97,7.01,12.63
3,5,2001,36.5,22.4,12.7,3.26,26.55,9.6,0.522,4.408,39.11,11.15,13,8.4,12.04
4,5,2001,38.1,18.8,11.8,2.45,27.5,8.6,0.458,4.415,39.18,11.76,13.02,8.95,12.23
5,5,2001,38.1,19.4,8.5,3.29,27.15,10,0.336,4.457,39.24,11.52,13.04,9.29,11.62
6,5,2001,36.6,19,13.8,3.48,28.24,9.9,0.516,4.168,39.31,12.23,13.06,8.94,12.81
7,5,2001,38.5,21.5,9.4,1.49,29.96,7.2,0.399,4.685,39.37,13.07,13.07,10.45,12.62
8,5,2001,40.7,21.8,10.1,4.23,28.22,12,0.46,5.134,39.43,12.2,13.09,9.53,12.2
9,5,2001,36.6,20,12.9,2.28,26.99,8.1,0.496,4.239,39.48,11.37,13.11,8.45,12.33
10,5,2001,38,20.1,10.9,2.63,26.5,8.9,0.438,4.489,39.54,11.04,13.13,8.52,11.89
11,5,2001,38.1,22.8,8.3,2.13,27.9,8.2,0.361,4.718,39.59,11.96,13.15,9.61,11.87
12,5,2001,40,21.6,10.1,1.9,28.43,8.1,0.449,4.978,39.64,12.3,13.17,9.54,12.35
13,5,2001,41,22.3,11.8,2.01,28.04,8.4,0.55,5.235,39.69,12.04,13.19,9.06,12.53
14,5,2001,42,24,13.3,2.8,28.61,10,0.669,5.591,39.74,12.41,13.2,9.04,12.99
15,5,2001,42.7,26.4,11.4,2.86,28.81,10.3,0.625,5.974,39.79,12.54,13.22,9.44,12.74
16,5,2001,42.1,24.1,12.6,2.48,28.24,9.4,0.637,5.622,39.83,12.15,13.24,8.97,12.78
17,5,2001,41.5,23.4,13.2,2.83,27.81,9.9,0.644,5.432,39.87,11.86,13.25,8.67,12.74
18,5,2001,41,23.5,12.9,3.52,27.72,10.9,0.622,5.337,39.91,11.8,13.27,8.66,12.68
19,5,2001,41,22.7,11.5,2.59,28.54,9.5,0.542,5.268,39.95,12.34,13.28,9.25,12.72
20,5,2001,41.5,23.6,11.3,1.97,27.81,8.4,0.554,5.45,39.99,11.85,13.3,8.95,12.46
21,5,2001,40.3,23.6,14.4,2.98,27.53,9.9,0.683,5.204,40.03,11.66,13.31,8.32,12.88
22,5,2001,39.3,23,12.8,2.72,27.71,9.4,0.58,4.957,40.06,11.78,13.33,8.63,12.71
23,5,2001,40.1,24.3,11,1.38,28.79,7.2,0.529,5.227,40.09,12.49,13.34,9.4,12.77
24,5,2001,40.5,25,13,2.05,27.15,8.4,0.645,5.371,40.12,11.4,13.36,8.33,12.58
25,5,2001,40,24.1,12.6,3.2,27.5,10.3,0.601,5.189,40.15,11.63,13.37,8.54,12.64
26,5,2001,40,23.7,11.8,3.01,28.99,10.1,0.556,5.153,40.18,12.62,13.38,9.32,13
27,5,2001,38.6,22.7,8.7,5.03,29.57,12.9,0.383,4.801,40.21,13.01,13.4,10.13,12.64
28,5,2001,38.6,20.7,9.2,5.27,29.95,13.1,0.383,4.642,40.23,13.26,13.41,10.17,12.89
29,5,2001,39,24.5,9.8,4.62,28.88,12.4,0.459,5.033,40.26,12.54,13.42,9.6,12.64
30,5,2001,40,22.2,7.9,2.83,30.31,10,0.357,5.026,40.28,13.43,13.43,10.65,12.69
31,5,2001,40.4,22.6,10.1,3.69,29.22,11.3,0.467,5.138,40.3,12.77,13.44,9.7,12.8
1,6,2001,38.9,22.6,12.6,4.11,29.36,11.5,0.558,4.848,40.32,12.86,13.45,9.3,13.31
2,6,2001,39.6,22.1,9.6,4.48,29.53,12.3,0.428,4.94,40.34,12.98,13.46,9.9,12.84
3,6,2001,40.2,22.7,6.1,5.35,29.46,13.9,0.281,5.107,40.35,12.93,13.47,10.64,12.05
4,6,2001,41.7,22.4,8.4,5.14,30.08,13.9,0.401,5.39,40.37,13.35,13.48,10.44,12.72
5,6,2001,42.1,23.7,9.4,5.05,29.58,13.8,0.47,5.586,40.38,13.01,13.49,10,12.77
6,6,2001,41.9,23.7,10.3,2.88,29.92,10.3,0.512,5.543,40.4,13.24,13.5,9.97,13.07
7,6,2001,42,22.8,10.1,2.73,29.54,10,0.491,5.487,40.41,12.99,13.5,9.83,12.92
8,6,2001,41.9,23.7,8.8,1.97,29.49,8.6,0.438,5.543,40.42,12.96,13.51,10.07,12.64
9,6,2001,41,23.3,10.3,3.38,27.45,10.8,0.494,5.319,40.43,11.6,13.52,8.82,12.31
10,6,2001,40,23.8,10.8,3.86,27.57,11.4,0.511,5.162,40.44,11.68,13.52,8.78,12.45
11,6,2001,38.8,22.7,10.4,3.78,28.27,11.1,0.461,4.838,40.45,12.15,13.53,9.14,12.63
12,6,2001,38.7,21.7,8.7,4.17,28.98,11.7,0.373,4.738,40.45,12.62,13.53,9.76,12.56
13,6,2001,39.4,21.2,8.7,3.31,30.81,10.7,0.376,4.83,40.46,13.54,13.54,10.62,13.11
14,6,2001,39.4,21.6,10.4,3.71,29.94,11.2,0.454,4.862,40.46,13.27,13.54,9.89,13.16
15,6,2001,39.9,22,11.3,3.52,30.09,11,0.506,4.99,40.46,13.37,13.54,9.8,13.37
16,6,2001,40.8,23.1,9.9,4.05,30.6,12.1,0.469,5.261,40.47,13.55,13.55,10.32,13.25
17,6,2001,41.4,24.2,7.8,2.86,30.61,10.3,0.388,5.482,40.47,13.55,13.55,10.81,12.76
18,6,2001,41.4,23.2,7.4,1.5,30.85,7.7,0.358,5.394,40.47,13.55,13.55,11,12.75
19,6,2001,41.3,23.3,8.4,2.29,30.73,9.2,0.406,5.382,40.46,13.55,13.55,10.71,12.95
20,6,2001,40.8,23.4,12.4,2.87,30.06,10.1,0.593,5.287,40.46,13.36,13.55,9.6,13.55
21,6,2001,40.6,24,11.4,3.35,30.07,10.9,0.551,5.299,40.46,13.37,13.55,9.78,13.37
22,6,2001,40.3,23.9,11.1,4.79,29.7,12.9,0.531,5.23,40.45,13.12,13.55,9.68,13.19
23,6,2001,41.4,26,10.9,6.3,23.43,14.8,0.57,5.653,40.45,8.92,13.55,6.91,11.13
24,6,2001,40.1,25.9,10.8,4.99,22.2,12.6,0.543,5.378,40.44,8.1,13.55,6.37,10.72
25,6,2001,40.8,25.3,9.8,4.16,29.03,12.2,0.494,5.46,40.43,12.68,13.55,9.64,12.71
26,6,2001,41.9,24.7,9.6,3.07,30.01,10.7,0.491,5.634,40.42,13.34,13.55,10.15,12.96
27,6,2001,42.3,24.4,9.6,2.74,29.31,10.1,0.492,5.693,40.41,12.87,13.54,9.83,12.74
28,6,2001,41.9,25.6,10.6,1.47,27.7,7.5,0.556,5.719,40.4,11.8,13.54,8.9,12.43
29,6,2001,42.6,25.6,11.7,2.72,28.72,10,0.626,5.872,40.39,12.48,13.54,9.16,12.96
30,6,2001,41.6,25.2,12.6,1.64,26.3,7.6,0.648,5.617,40.38,10.86,13.53,7.95,12.3
1,7,2001,41.9,25.1,11.2,1.7,27.24,7.9,0.579,5.671,40.36,11.5,13.53,8.6,12.38
2,7,2001,41.6,26.3,10.3,1.82,29,8.2,0.546,5.725,40.35,12.68,13.52,9.56,12.77
3,7,2001,42.2,25.1,11.8,1.79,28.47,8.2,0.616,5.736,40.33,12.33,13.52,9.05,12.87
4,7,2001,41.5,24.9,11.5,2.13,29.02,8.8,0.585,5.567,40.31,12.7,13.51,9.35,12.99
5,7,2001,41.1,24.6,12,2.63,29.06,9.7,0.599,5.456,40.29,12.73,13.5,9.28,13.09
6,7,2001,41.8,24.9,11.5,1.83,29.53,8.3,0.59,5.631,40.27,13.04,13.5,9.59,13.15
7,7,2001,41.3,24.6,9.8,1.48,29.32,7.5,0.492,5.498,40.25,12.91,13.49,9.84,12.74
8,7,2001,41.7,24.8,11.6,1.88,29.32,8.4,0.592,5.6,40.23,12.91,13.48,9.49,13.08
9,7,2001,41.7,25.3,11.2,1.55,29.72,7.8,0.579,5.648,40.2,13.18,13.47,9.76,13.13
10,7,2001,40.9,24.7,14.4,2.52,28.75,9.4,0.716,5.424,40.18,12.53,13.46,8.77,13.37
11,7,2001,41.1,24.9,12.7,3.82,28.77,11.5,0.639,5.484,40.15,12.55,13.45,9.07,13.08
12,7,2001,41.1,24.4,10.4,4.08,28.66,12,0.516,5.438,40.13,12.48,13.44,9.45,12.61
13,7,2001,41.4,24.7,12.5,3.45,27.96,11,0.631,5.528,40.1,12.01,13.43,8.77,12.76
14,7,2001,41.4,25.8,11.3,2.95,26.43,10,0.588,5.633,40.07,10.99,13.42,8.3,12.05
15,7,2001,42.5,26.1,10.4,3.36,27.73,11,0.563,5.899,40.04,11.87,13.41,9.07,12.28
16,7,2001,43.1,27.1,10.9,2.84,26.54,10.1,0.616,6.136,40,11.08,13.4,8.44,11.99
17,7,2001,44.1,28.5,9.4,1.51,27.99,7.7,0.568,6.52,39.97,12.05,13.38,9.43,12.12
18,7,2001,44.3,29.2,10.3,2.17,27.8,9.1,0.638,6.648,39.93,11.93,13.37,9.15,12.26
19,7,2001,43.7,27,13.9,2.93,27.81,10.4,0.797,6.263,39.9,11.94,13.36,8.49,12.92
20,7,2001,43.9,27.2,15.6,1.95,26.38,8.5,0.904,6.33,39.86,10.99,13.34,7.61,12.7
21,7,2001,43.6,29.6,17.9,2.49,25.84,9.4,1.099,6.53,39.82,10.63,13.33,7,12.9
22,7,2001,43.6,28.1,12.3,1.88,28.62,8.5,0.725,6.358,39.78,12.5,13.31,9.16,12.87
23,7,2001,43.8,28.9,11.2,2.47,28.72,9.7,0.678,6.495,39.73,12.58,13.3,9.44,12.67
24,7,2001,41.8,27.3,11.4,3.09,28.34,10.5,0.625,5.871,39.69,12.33,13.28,9.25,12.57
25,7,2001,42.3,28.4,13.8,3.4,27.32,10.9,0.791,6.099,39.64,11.65,13.27,8.36,12.68
26,7,2001,44,28.3,11.9,2.64,28.12,10,0.713,6.473,39.6,12.2,13.25,9.07,12.58
27,7,2001,44,27.7,12.1,3.75,27.48,11.9,0.713,6.407,39.55,11.78,13.24,8.77,12.39
28,7,2001,44.4,27,10.7,3.6,27.55,11.7,0.625,6.428,39.5,11.83,13.22,9.1,12.11
29,7,2001,43.9,26.8,11,3.11,28.68,10.9,0.631,6.289,39.45,12.6,13.2,9.58,12.5
30,7,2001,44.6,26.6,9,2.93,28.21,10.6,0.523,6.435,39.39,12.29,13.19,9.82,11.9
31,7,2001,44,28.1,10.2,1.98,27.17,8.6,0.608,6.451,39.34,11.61,13.17,9.08,11.84
1,8,2001,42.3,27.5,14.4,3.45,26.91,10.9,0.805,6,39.28,11.44,13.15,8.2,12.52
2,8,2001,41.6,27.9,25.7,2.87,23.5,9.1,1.425,5.893,39.22,9.17,13.13,5.44,12.66
3,8,2001,43.8,30.3,20.6,2.18,25.93,8.8,1.296,6.662,39.16,10.81,13.11,6.77,13.2
4,8,2001,45.1,27.2,9.3,3.8,28.07,12.3,0.557,6.62,39.1,12.25,13.09,9.79,11.82
5,8,2001,44.9,27.3,10.5,2.92,26.93,10.5,0.627,6.581,39.03,11.5,13.07,9.01,11.73
6,8,2001,44.4,28.3,14.3,2.84,25.1,10,0.866,6.569,38.97,10.29,13.06,7.5,11.83
7,8,2001,44.2,29.7,12.1,1.84,25.45,8.1,0.757,6.683,38.9,10.54,13.04,8.03,11.57
8,8,2001,44.3,27.9,14.5,2.52,25.96,9.5,0.866,6.5,38.83,10.9,13.02,7.88,12.11
9,8,2001,44.4,28.2,15.3,2.16,26.93,8.9,0.924,6.557,38.76,11.56,13,8.17,12.56
10,8,2001,42.5,28.7,17.8,1.98,26.36,8.3,1.035,6.177,38.68,11.2,12.97,7.57,12.73
11,8,2001,45.5,29.9,15.9,2.28,26.19,9.2,1.036,7.025,38.61,11.1,12.95,7.73,12.44
12,8,2001,45.1,29.2,15.8,3.76,25.97,11.8,1,6.842,38.53,10.97,12.93,7.71,12.29
13,8,2001,44.3,29.6,17.4,1.89,23.89,8,1.089,6.695,38.45,9.59,12.91,6.62,11.77
14,8,2001,44.7,30.4,15.1,2.94,24.52,10.1,0.976,6.889,38.37,10.03,12.89,7.23,11.65
15,8,2001,44.1,27.9,17.9,3.62,25.07,11.1,1.063,6.453,38.28,10.42,12.87,7.13,12.18
16,8,2001,43.6,27,12.6,2.91,27.97,10.3,0.72,6.239,38.2,12.39,12.85,9.34,12.2
17,8,2001,43.7,25.9,11.1,3.31,26.62,10.9,0.617,6.151,38.11,11.5,12.83,9.05,11.45
18,8,2001,42.8,26.3,12.3,3.34,27.94,10.9,0.675,5.986,38.02,12.42,12.8,9.46,12.06
19,8,2001,42.8,24.3,8.3,2.56,28.39,9.5,0.431,5.794,37.93,12.74,12.78,10.57,11.29
20,8,2001,42.6,26.1,13.6,1.91,28.05,8.2,0.738,5.921,37.83,12.54,12.76,9.32,12.28
21,8,2001,43.1,26.4,11.6,3.84,26.79,11.6,0.643,6.063,37.74,11.71,12.74,9.15,11.48
22,8,2001,41.8,25.9,12.4,4.84,24.92,12.7,0.654,5.727,37.64,10.48,12.71,8.16,11.03
23,8,2001,42.7,26.3,13.3,5.41,25.94,13.8,0.727,5.963,37.54,11.19,12.69,8.51,11.47
24,8,2001,42.8,25.2,12.2,4.02,26.23,11.8,0.649,5.878,37.44,11.42,12.67,8.88,11.31
25,8,2001,42.5,26.4,12.9,2.3,26.88,8.8,0.704,5.929,37.33,11.88,12.64,9.08,11.62
26,8,2001,41.7,25.1,13.5,1.68,26.84,7.5,0.694,5.629,37.23,11.89,12.62,9.01,11.66
27,8,2001,41,24.6,10.3,2.91,27.05,9.7,0.512,5.435,37.12,12.06,12.6,9.74,11.09
28,8,2001,40.6,23.8,11.4,3.14,27.14,10,0.548,5.282,37.01,12.15,12.57,9.61,11.29
